Code_Without_Decimal,Title,OPCS_Version
A01,Major excision of tissue of brain,4.1
A011,Hemispherectomy,4.1
A012,Total lobectomy of brain,4.1
A013,Partial lobectomy of brain,4.1
A018,Other specified major excision of tissue of brain,4.1
A019,Unspecified major excision of tissue of brain,4.1
A02,Excision of lesion of tissue of brain,4.1
A021,Excision of lesion of tissue of frontal lobe of brain,4.1
A022,Excision of lesion of tissue of temporal lobe of brain,4.1
A023,Excision of lesion of tissue of parietal lobe of brain,4.1
A024,Excision of lesion of tissue of occipital lobe of brain,4.1
A025,Excision of lesion of tissue of cerebellum,4.1
A026,Excision of lesion of tissue of brain stem,4.1
A027,Excision of transcranial dermoid cyst,4.1
A028,Other specified excision of lesion of tissue of brain,4.1
A029,Unspecified excision of lesion of tissue of brain,4.1
A03,Stereotactic ablation of tissue of brain,4.1
A031,Stereotactic leucotomy,4.1
A032,Stereotactic ablation of tissue of thalamus,4.1
A033,Stereotactic ablation of tissue of globus pallidus,4.1
A034,Stereotactic ablation of tissue of brain stem,4.1
A038,Other specified stereotactic ablation of tissue of brain,4.1
A039,Unspecified stereotactic ablation of tissue of brain,4.1
A04,Open biopsy of lesion of tissue of brain,4.1
A041,Open biopsy of lesion of tissue of frontal lobe of brain,4.1
A042,Open biopsy of lesion of tissue of temporal lobe of brain,4.1
A043,Open biopsy of lesion of tissue of parietal lobe of brain,4.1
A044,Open biopsy of lesion of tissue of occipital lobe of brain,4.1
A045,Open biopsy of lesion of tissue of cerebellum,4.1
A046,Open biopsy of lesion of tissue of brain stem,4.1
A048,Other specified open biopsy of lesion of tissue of brain,4.1
A049,Unspecified open biopsy of lesion of tissue of brain,4.1
A05,Drainage of lesion of tissue of brain,4.1
A051,Drainage of abscess of tissue of brain,4.1
A052,Evacuation of haematoma from temporal lobe of brain,4.1
A053,Evacuation of haematoma from cerebellum,4.1
A054,Evacuation of intracerebral haematoma NEC,4.1
A058,Other specified drainage of lesion of tissue of brain,4.1
A059,Unspecified drainage of lesion of tissue of brain,4.1
A06,Other excision of lesion of tissue of brain,4.1
A061,Excision of basal encephalocele,4.1
A062,Excision of occipital encephalocele,4.1
A063,Excision of syncipital encephalocele,4.1
A064,Repair of post-traumatic meningoencephalocele,4.1
A068,Other specified other excision of lesion of tissue of brain,4.1
A069,Unspecified other excision of lesion of tissue of brain,4.1
A07,Other open operations on tissue of brain,4.1
A071,Open division of tissue of brain,4.1
A072,Removal of foreign body from tissue of brain,4.1
A073,Exploration of tissue of brain,4.1
A074,Excision of abscess of tissue of brain,4.1
A075,Multiple subpial transections,4.1
A076,Complete callosotomy,4.1
A077,Partial callosotomy,4.1
A078,Other specified other open operations on tissue of brain,4.1
A079,Unspecified other open operations on tissue of brain,4.1
A08,Other biopsy of lesion of tissue of brain,4.1
A081,Biopsy of lesion of tissue of frontal lobe of brain NEC,4.1
A082,Biopsy of lesion of tissue of temporal lobe of brain NEC,4.1
A083,Biopsy of lesion of tissue of parietal lobe of brain NEC,4.1
A084,Biopsy of lesion of tissue of occipital lobe of brain NEC,4.1
A085,Biopsy of lesion of tissue of cerebellum NEC,4.1
A086,Biopsy of lesion of tissue of brain stem NEC,4.1
A088,Other specified other biopsy of lesion of tissue of brain,4.1
A089,Unspecified other biopsy of lesion of tissue of brain,4.1
A09,Neurostimulation of brain,4.1
A091,Implantation of brain neurostimulator,4.1
A092,Maintenance of brain neurostimulator,4.1
